source_recipe_id,recipe_name,external_raw_status,mapping_class,strict_raw_triage,mapped_existing_rows,new_food_rows,form_split_rows,composite_process_rows,unresolved_rows,optional_rows,choice_groups,family_count_lead,optional_role_lead,substitution_lead,production_ready
USSR82-213,Рассольник ленинградский (из полуфабриката),READY_RAW,IDENTITY_REVIEW,NO,1,0,0,1,1,0,0,NO,NO,NO,NO
USSR82-214,Рассольник по-россошански (из полуфабриката),READY_RAW,IDENTITY_REVIEW,NO,1,0,0,1,1,0,0,NO,NO,NO,NO
USSR82-215,Суп картофельный,READY_RAW,IDENTITY_REVIEW,NO,3,1,0,0,1,0,0,NO,NO,NO,NO
USSR82-216,Суп крестьянский с крупой,READY_RAW,IDENTITY_REVIEW,NO,4,0,1,0,2,0,0,NO,NO,NO,NO
USSR82-217,Суп из овощей,READY_RAW,IDENTITY_REVIEW,NO,5,1,0,0,1,0,0,NO,NO,NO,NO
USSR82-218,Суп картофельный со щавелем,READY_RAW,IDENTITY_REVIEW,NO,5,5,1,0,2,0,0,NO,NO,NO,NO
USSR82-219,Суп картофельный с крупой,READY_RAW,IDENTITY_REVIEW,NO,18,8,3,0,10,0,0,NO,NO,NO,NO
USSR82-220,Суп полевой,READY_RAW,IDENTITY_REVIEW,NO,4,2,2,0,2,0,0,NO,NO,NO,NO
USSR82-221,Суп картофельный с бобовыми,READY_RAW,IDENTITY_REVIEW,NO,3,1,1,0,2,0,0,NO,NO,NO,NO
USSR82-222,Суп картофельный с консервами из бобовых,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,9,3,9,0,3,0,1,NO,NO,NO,NO
USSR82-223,Суп картофельный с макаронными изделиями,READY_RAW,IDENTITY_REVIEW,NO,4,1,0,0,1,0,0,NO,NO,NO,NO
USSR82-224,Суп картофельный с мясными фрикадельками,READY_RAW,IDENTITY_REVIEW,NO,9,5,2,3,3,0,0,NO,NO,NO,NO
USSR82-225,Суп картофельный с рыбными фрикадельками,READY_RAW,IDENTITY_REVIEW,NO,9,2,2,3,6,0,0,NO,NO,NO,NO
USSR82-226,Фрикадельки рыбные,READY_RAW,IDENTITY_REVIEW,NO,15,4,0,0,9,0,0,NO,NO,NO,NO
USSR82-227,Суп картофельный с грибами,READY_RAW,IDENTITY_REVIEW,NO,14,7,5,0,3,0,1,NO,NO,NO,NO
USSR82-228,Суп картофельный с клецками,READY_RAW,IDENTITY_REVIEW,NO,6,3,1,2,2,0,0,NO,NO,NO,NO
USSR82-229,Суп картофельный с пельменями,READY_RAW,IDENTITY_REVIEW,NO,9,4,2,0,3,0,0,NO,NO,NO,NO
USSR82-230,Суп из сушеных картофеля и овощей,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,0,1,4,0,1,0,0,NO,NO,NO,NO
USSR82-231,Суп из овощей с фасолью,READY_RAW,IDENTITY_REVIEW,NO,12,4,2,0,4,0,2,NO,NO,NO,NO
USSR82-232,Чорбэ деличиоасэ (суп деликатесный),READY_RAW,PROCESS_REVIEW,NO,3,4,1,1,0,0,0,NO,NO,NO,NO
USSR82-233,Суп с макаронными изделиями,READY_RAW,IDENTITY_REVIEW,NO,6,3,1,1,2,0,1,NO,NO,NO,NO
USSR82-234,Суп с макаронными изделиями и картофелем,READY_RAW,IDENTITY_REVIEW,NO,8,3,1,1,2,0,1,NO,NO,NO,NO
USSR82-235,Суп-лапша домашняя,READY_RAW,IDENTITY_REVIEW,NO,3,3,1,2,2,0,0,NO,NO,NO,NO
USSR82-236,Суп-лапша грибная,READY_RAW,IDENTITY_REVIEW,NO,12,7,5,0,3,0,3,NO,NO,NO,NO
USSR82-237,Суп с крупой,READY_RAW,IDENTITY_REVIEW,NO,2,1,1,0,1,0,0,NO,NO,NO,NO
USSR82-238,Суп с крупой и томатом,READY_RAW,IDENTITY_REVIEW,NO,12,6,4,6,14,0,0,NO,NO,NO,NO
USSR82-239,Суп рисовый с мясом,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,6,3,3,3,6,0,0,NO,NO,NO,NO
USSR82-240,Суп пшенный с мясом (кулеш),PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,1,0,2,0,1,0,0,NO,NO,NO,NO
USSR82-241,Суп с крупой и мясными фрикадельками,READY_RAW,IDENTITY_REVIEW,NO,6,9,5,0,6,0,1,NO,NO,NO,NO
USSR82-242,Суп с пельменями или клецками,READY_RAW,IDENTITY_REVIEW,NO,9,2,2,6,3,0,2,NO,NO,NO,NO
USSR82-243,Суп с бобовыми,READY_RAW,IDENTITY_REVIEW,NO,6,3,3,0,4,0,2,NO,NO,NO,NO
USSR82-244,Суп перловый с грибами,READY_RAW,IDENTITY_REVIEW,NO,4,1,2,0,1,0,0,NO,NO,NO,NO
USSR82-245,Суп-харчо,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,3,2,2,2,0,0,0,NO,NO,NO,NO
USSR82-246,Кюфта-бозбаш (суп с мясными шариками),PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,6,8,8,0,2,0,1,NO,NO,NO,NO
USSR82-247,Суп картофельный с суповой заправкой,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,1,0,0,1,1,0,0,NO,NO,NO,NO
USSR82-248,Суп с макаронными изделиями и картофелем с суповой заправкой,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,2,0,0,1,1,0,0,NO,NO,NO,NO
USSR82-249,Суп гороховый из концентратов,PARTIAL_RAW,RAW_EVIDENCE_REVIEW,NO,1,0,1,0,1,1,1,NO,NO,NO,NO
USSR82-250,Солянка сборная мясная,NO_RELATIONSHIPS,RAW_EVIDENCE_REVIEW,NO,0,0,0,0,0,0,0,NO,NO,NO,NO
USSR82-251,Солянка домашняя,READY_RAW,IDENTITY_REVIEW,NO,9,7,6,6,6,1,0,NO,YES,NO,NO
USSR82-252,Солянка по-ленинградски,READY_RAW,IDENTITY_REVIEW,NO,4,8,6,2,4,0,0,NO,NO,NO,NO
