source_recipe_id,recipe_name,category,external_raw_status,mapping_class,strict_raw_triage,source_relationship_rows_v22_5,source_calc_rows_v22_13,source_relationship_rows_v22_13,relationship_compatibility_status,source_variant_count,source_variants,choice_groups,optional_row_count,boundary_review_reasons,source_structure_status,variant_selection_status,single_variant_required_ids,common_required_across_variants_ids,choice_group_ingredient_ids,optional_ingredient_ids,alternative_or_variant_only_ids,all_variant_union_ingredient_ids,existing_mapping_ids,dc2_required_ids,semantic_label_review_ids,production_ready,proposed_dc3_batch
USSR82-260,Суп молочный с тыквой и крупой,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,20,20,20,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,3,I | II | III,grain,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0032 | ING-0034 | ING-0042 | ING-0145,ING-0021 | ING-0023,,ING-0006 | ING-0021 | ING-0023,ING-0006 | ING-0021 | ING-0023 | ING-0032 | ING-0034 | ING-0042 | ING-0145,ING-0006 | ING-0032 | ING-0042,ING-0021 | ING-0023 | ING-0034 | ING-0145,ING-0032 | ING-0034 | ING-0042,NO,DC3-C_REVIEW_REQUIRED
USSR82-261,Суп молочный с овощами,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,24,24,24,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,3,I | II | III,cabbage | fat,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0006 | ING-0019 | ING-0034 | ING-0035,ING-0017 | ING-0018 | ING-0032,,ING-0012 | ING-0017 | ING-0018 | ING-0032 | ING-0077 | ING-0144,ING-0006 | ING-0012 | ING-0017 | ING-0018 | ING-0019 | ING-0032 | ING-0034 | ING-0035 | ING-0077 | ING-0144,ING-0006 | ING-0012 | ING-0017 | ING-0018 | ING-0019 | ING-0032 | ING-0035 | ING-0077 | ING-0144,ING-0034,ING-0032 | ING-0034 | ING-0035,NO,DC3-C_REVIEW_REQUIRED
USSR82-263,Суп молочный с картофельными клецками,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,6,6,8,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,1,single,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0006 | ING-0019 | ING-0032 | ING-0034 | ING-0050,,,,ING-0006 | ING-0019 | ING-0032 | ING-0034 | ING-0050,ING-0006 | ING-0019 | ING-0032 | ING-0050,ING-0034,ING-0032 | ING-0034,NO,DC3-C_REVIEW_REQUIRED
USSR82-264,Суп молочный с горохом и перловой крупой,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,YES,10,10,14,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,2,I | II,,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0006 | ING-0011 | ING-0022 | ING-0032 | ING-0034,,,,ING-0006 | ING-0011 | ING-0022 | ING-0032 | ING-0034,ING-0006 | ING-0022 | ING-0032,ING-0011 | ING-0034,ING-0032 | ING-0034,NO,DC3-C_REVIEW_REQUIRED
USSR82-265,Пиена зупа ар спеки (суп молочный с копченостями),Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,6,6,6,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,single,,0,,SINGLE_VARIANT_NO_EXPLICIT_ALTERNATIVE,REVIEW_REQUIRED,,ING-0006 | ING-0019 | ING-0028 | ING-0034 | ING-0035 | ING-0112,,,,ING-0006 | ING-0019 | ING-0028 | ING-0034 | ING-0035 | ING-0112,ING-0006 | ING-0019 | ING-0028 | ING-0035,ING-0034 | ING-0112,ING-0034 | ING-0035,NO,DC3-C_REVIEW_REQUIRED
USSR82-282,"Рис, запеченный с овощами",Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,18,18,20,CALC_ROWS_MATCH_V22_13_HAS_ADDITIONAL_NONCALC_RELATIONSHIPS,2,I | II,white_root,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0012 | ING-0024 | ING-0032 | ING-0035 | ING-0055 | ING-0071 | ING-0119,ING-0041 | ING-0137,,ING-0041 | ING-0137,ING-0012 | ING-0024 | ING-0032 | ING-0035 | ING-0041 | ING-0055 | ING-0071 | ING-0119 | ING-0137,ING-0012 | ING-0032 | ING-0035 | ING-0071,ING-0024 | ING-0041 | ING-0055 | ING-0119 | ING-0137,ING-0032 | ING-0035 | ING-0055,NO,DC3-C_REVIEW_REQUIRED
USSR82-283,Овощи,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,20,20,20,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,3,I | II | III,leaf | root,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0032 | ING-0035 | ING-0041,ING-0073 | ING-0077 | ING-0117 | ING-0180,,ING-0017 | ING-0073 | ING-0077 | ING-0117 | ING-0119 | ING-0137 | ING-0180,ING-0017 | ING-0032 | ING-0035 | ING-0041 | ING-0073 | ING-0077 | ING-0117 | ING-0119 | ING-0137 | ING-0180,ING-0017 | ING-0032 | ING-0035 | ING-0077 | ING-0117,ING-0041 | ING-0073 | ING-0119 | ING-0137 | ING-0180,ING-0032 | ING-0035,NO,DC3-C_REVIEW_REQUIRED
USSR82-284,Овощи и зелень,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,28,28,28,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,3,I | II | III,green_legume | leaf | root,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0035 | ING-0041 | ING-0050,ING-0012 | ING-0073 | ING-0077 | ING-0117 | ING-0144 | ING-0180 | ING-0192,,ING-0012 | ING-0018 | ING-0073 | ING-0077 | ING-0117 | ING-0137 | ING-0144 | ING-0180 | ING-0192,ING-0012 | ING-0018 | ING-0035 | ING-0041 | ING-0050 | ING-0073 | ING-0077 | ING-0117 | ING-0137 | ING-0144 | ING-0180 | ING-0192,ING-0012 | ING-0018 | ING-0035 | ING-0050 | ING-0077 | ING-0117 | ING-0144,ING-0041 | ING-0073 | ING-0137 | ING-0180 | ING-0192,ING-0035,NO,DC3-C_REVIEW_REQUIRED
USSR82-286,Капуста цветная или брюссельская,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,3,3,3,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,1,single,cabbage,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0050,ING-0018 | ING-0191,,ING-0018 | ING-0191,ING-0018 | ING-0050 | ING-0191,ING-0018 | ING-0050,ING-0191,,NO,DC3-C_REVIEW_REQUIRED
USSR82-287,Капуста савойская и овощи,Супы,READY_RAW,CATALOGUE_EXTENSION_LEAD,NO,16,16,16,CALC_ROWS_MATCH_RELATIONSHIP_ROWS_MATCH,2,I | II,,0,,MULTI_OR_ALTERNATIVE_STRUCTURE_REVIEW,REVIEW_REQUIRED,,ING-0028 | ING-0035 | ING-0041 | ING-0050 | ING-0058 | ING-0137 | ING-0190,,,ING-0077 | ING-0119,ING-0028 | ING-0035 | ING-0041 | ING-0050 | ING-0058 | ING-0077 | ING-0119 | ING-0137 | ING-0190,ING-0028 | ING-0035 | ING-0050 | ING-0058 | ING-0077,ING-0041 | ING-0119 | ING-0137 | ING-0190,ING-0035,NO,DC3-C_REVIEW_REQUIRED
