external_ingredient_id,v22_13_external_name,v22_5_canonical_labels,v22_5_original_labels,external_exactness_tier,map_state,familyfoodos_food_code,mapping_confidence,candidate_recipe_count,candidate_recipe_ids,candidate_row_count,candidate_input_mass_g,simple_candidate_recipe_count,simple_candidate_recipe_ids,semantic_compatibility_status,accepted_identity_mapping_status,current_profile_presence_status,profile_suitability_for_recipe_form,authority_source_candidate,authority_record_candidate,authority_assignment_status,authority_search_strategy,rights_status,production_ready,proposed_dc2_batch
ING-0034,"Молоко пастеризованное 3,2%","Молоко 3,2%",Молоко | Молоко или вода,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,19,USSR82-258 | USSR82-259 | USSR82-260 | USSR82-261 | USSR82-263 | USSR82-264 | USSR82-265 | USSR82-288 | USSR82-322 | USSR82-325 | USSR82-326 | USSR82-412 | USSR82-414 | USSR82-451 | USSR82-467 | USSR82-468 | USSR82-469 | USSR82-470 | USSR82-732,37,11215,0,,V22_5_V22_13_LABEL_DIFFERENCE_REVIEW_REQUIRED,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,,,BLOCKED_IDENTITY_SEMANTICS_BEFORE_AUTHORITY,RESOLVE_IDENTITY_SEMANTICS_THEN_ASSIGN_AUTHORITY,UNRESOLVED_UNTIL_IDENTITY_REVIEW,NO,DC2-C_IDENTITY_FORM_REVIEW
ING-0035,Морковь красная,Морковь,Морковь,A_REFERENCE,ALIAS_EXISTING,CARROT,HIGH,11,USSR82-208 | USSR82-261 | USSR82-265 | USSR82-282 | USSR82-283 | USSR82-284 | USSR82-287 | USSR82-346 | USSR82-361 | USSR82-414 | USSR82-95,22,1796,0,,V22_5_V22_13_LABEL_DIFFERENCE_REVIEW_REQUIRED,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:2258586@2026-04-30:Foundation,2258586,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0036,Мука пшеничная в/с,Мука пшеничная,Мука пшеничная,A_REFERENCE,ALIAS_EXISTING,FLOUR_WHEAT,HIGH,5,USSR82-1081 | USSR82-351 | USSR82-364 | USSR82-492 | USSR82-669,5,109,0,,V22_5_V22_13_LABEL_DIFFERENCE_REVIEW_REQUIRED,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:790018@2026-04-30:Foundation,790018,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0037,Огурец свежий,Огурец свежий,Огурец свежий | Огурцы свежие,A_REFERENCE,ALIAS_EXISTING,CUCUMBER,HIGH,3,USSR82-312 | USSR82-55 | USSR82-59,5,1500,2,USSR82-55 | USSR82-59,LABEL_MATCH_OR_COMPATIBLE_TEXT,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:2346406@2026-04-30:Foundation,2346406,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0038,Огурцы соленые,Огурец соленый,Огурец соленый | Огурцы соленые,B_MULTI_SOURCE_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,2,USSR82-101 | USSR82-208,2,90,0,,V22_5_V22_13_LABEL_DIFFERENCE_REVIEW_REQUIRED,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,,,BLOCKED_IDENTITY_SEMANTICS_BEFORE_AUTHORITY,RESOLVE_IDENTITY_SEMANTICS_THEN_ASSIGN_AUTHORITY,UNRESOLVED_UNTIL_IDENTITY_REVIEW,NO,DC2-C_IDENTITY_FORM_REVIEW
ING-0041,Петрушка (корень),Петрушка (корень),Петрушка (корень),A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,6,USSR82-282 | USSR82-283 | USSR82-284 | USSR82-287 | USSR82-296 | USSR82-346,16,160,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,,,BLOCKED_FORM_SELECTION_BEFORE_AUTHORITY,SELECT_EXACT_FORM_THEN_ASSIGN_AUTHORITY,UNRESOLVED_UNTIL_FORM_SELECTION,NO,DC2-C_IDENTITY_FORM_REVIEW
ING-0042,Сахар-песок,Сахар,Сахар,A_REFERENCE,EXACT_EXISTING,SUGAR,HIGH,22,USSR82-1081 | USSR82-258 | USSR82-259 | USSR82-260 | USSR82-312 | USSR82-314 | USSR82-317 | USSR82-318 | USSR82-319 | USSR82-320 | USSR82-322 | USSR82-340 | USSR82-346 | USSR82-351 | USSR82-412 | USSR82-413 | USSR82-414 | USSR82-418 | USSR82-451 | USSR82-492 | USSR82-499 | USSR82-95,97,6206,0,,V22_5_V22_13_LABEL_DIFFERENCE_REVIEW_REQUIRED,REUSE_ACCEPTED_MAPPING,PRESENT_IN_REQUIRED_PRODUCTION_SEED,PROFILE_PRESENT_FORM_REVIEW_REQUIRED,USDA_FDC:746784@2026-04-30:Foundation,746784,EXISTING_PROFILE_PROVENANCE_IDENTIFIED_FORM_REVIEW_REQUIRED,,OPEN_REUSE_CURRENT_PROFILE,NO,REUSE_EXISTING_PROFILE_FORM_REVIEW
ING-0044,Свинина котлетная,Свинина котлетная,Свинина,C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,1,USSR82-184,1,1140,0,,LABEL_MATCH_OR_COMPATIBLE_TEXT,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,,,BLOCKED_PROXY_IDENTITY_BEFORE_AUTHORITY,RESOLVE_PROXY_IDENTITY_THEN_ASSIGN_AUTHORITY,UNRESOLVED_UNTIL_IDENTITY_REVIEW,NO,DC2-C_IDENTITY_FORM_REVIEW
ING-0046,Сметана 20% жирности,Сметана 20%,Сметана | Сметана (в изделие) | Сметана при отпуске,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,2,USSR82-380 | USSR82-95,3,170,0,,V22_5_V22_13_LABEL_DIFFERENCE_REVIEW_REQUIRED,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,,,BLOCKED_IDENTITY_SEMANTICS_BEFORE_AUTHORITY,RESOLVE_IDENTITY_SEMANTICS_THEN_ASSIGN_AUTHORITY,UNRESOLVED_UNTIL_IDENTITY_REVIEW,NO,DC2-C_IDENTITY_FORM_REVIEW
ING-0047,Сметана 30%,Сметана 30%,Сметана,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,7,USSR82-418 | USSR82-492 | USSR82-499 | USSR82-55 | USSR82-58 | USSR82-59 | USSR82-71,7,780,4,USSR82-55 | USSR82-58 | USSR82-59 | USSR82-71,LABEL_MATCH_OR_COMPATIBLE_TEXT,NO_ACCEPTED_FAMILYFOODOS_IDENTITY_YET,NOT_APPLICABLE_NO_ACCEPTED_FOOD_MAPPING,NOT_APPLICABLE_NO_ACCEPTED_PROFILE,,,BLOCKED_FORM_SELECTION_BEFORE_AUTHORITY,SELECT_EXACT_FORM_THEN_ASSIGN_AUTHORITY,UNRESOLVED_UNTIL_FORM_SELECTION,NO,DC2-C_IDENTITY_FORM_REVIEW
